Percentage,Source,Density
10.0,Public Registry,0.000
10.5,Public Registry,0.005
11.0,Public Registry,0.020
11.5,Public Registry,0.220
12.0,Public Registry,0.150
12.5,Public Registry,0.120
13.0,Public Registry,0.080
13.5,Public Registry,0.050
14.0,Public Registry,0.040
14.5,Public Registry,0.030
15.0,Public Registry,0.020
15.5,Public Registry,0.010
16.0,Public Registry,0.000
25.0,Private Bureau,0.000
26.0,Private Bureau,0.005
27.0,Private Bureau,0.010
28.0,Private Bureau,0.020
29.0,Private Bureau,0.030
30.0,Private Bureau,0.040
31.0,Private Bureau,0.050
32.0,Private Bureau,0.060
33.0,Private Bureau,0.075
34.0,Private Bureau,0.090
35.0,Private Bureau,0.105
36.0,Private Bureau,0.100
37.0,Private Bureau,0.085
38.0,Private Bureau,0.070
39.0,Private Bureau,0.050
40.0,Private Bureau,0.035
41.0,Private Bureau,0.020
42.0,Private Bureau,0.010
43.0,Private Bureau,0.005
44.0,Private Bureau,0.000
